m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
7400,100,3.799746011420961,0.79,6.7360379024449974,0.08,0.08
7450,100,3.8170943508273676,0.79,6.711131330854231,0.08,0.08
7500,100,3.8342949862750557,0.8,6.686392737458042,0.07,0.07
7550,100,3.8467199785021444,0.8,6.661781159256616,0.07,0.07
7600,100,3.8689913615557647,0.8,6.637359227528781,0.07,0.07
7650,100,3.8863006222223055,0.8,6.613079648165319,0.06,0.06
7700,100,3.9035769991260136,0.81,6.589005482390559,0.06,0.06
7750,100,3.9208183325547954,0.81,6.565094306621119,0.06,0.06
7800,100,3.9380249181209055,0.81,6.541372953105227,0.05,0.05
7850,100,3.9551990020926513,0.81,6.517843085822771,0.05,0.05
7900,100,3.972307793247925,0.82,6.494468803153983,0.05,0.05
7950,100,3.989438443919305,0.82,6.471309637229744,0.05,0.05
8000,100,4.006545591617652,0.82,6.448345567298808,0.05,0.05
8050,100,4.023629972729096,0.82,6.425605807602338,0.04,0.04
8100,100,4.040692085160551,0.82,6.403012544265632,0.04,0.04
8150,100,4.057732387894185,0.83,6.380596862561437,0.04,0.04
8200,100,4.075024504286877,0.83,6.3583743199007365,0.04,0.04
8250,100,4.091991435973649,0.83,6.336329353245156,0.04,0.04
8300,100,4.108936331570253,0.83,6.314494874277849,0.03,0.03
8350,100,4.126017648094861,0.83,6.292842746140885,0.03,0.03
8400,100,4.142763667495288,0.84,6.271403439105782,0.03,0.03
8450,100,4.159647901566295,0.84,6.250179015027186,0.03,0.03
8500,100,4.17644587835087,0.84,6.229138110634713,0.03,0.03
8550,100,4.1933293683629405,0.84,6.208311226482299,0.03,0.03
8600,100,4.210195132846073,0.84,6.1876517314388835,0.03,0.03
8650,100,4.227043787296992,0.85,6.167184359355795,0.02,0.02
8700,100,4.243875564051828,0.85,6.146910757525288,0.02,0.02
8750,100,4.26069104868707,0.85,6.126793396704669,0.02,0.02
8800,100,4.27749042242129,0.85,6.106877653383897,0.02,0.02
8850,100,4.294274116600123,0.85,6.087091936299862,0.02,0.02
8900,100,4.311042571127662,0.85,6.067484223541641,0.02,0.02
8950,100,4.327796020693221,0.85,6.048019043045757,0.02,0.02
9000,100,4.34453478043263,0.86,6.02869291178833,0.02,0.02
9050,100,4.361259257775456,0.86,6.009512904253827,0.02,0.02
9100,100,4.377969753629128,0.86,5.990447623887272,0.01,0.01
9150,100,4.394666574679744,0.86,5.971495848576396,0.01,0.01
9200,100,4.411349932995213,0.86,5.952688531287265,0.01,0.01
9250,100,4.428020204888776,0.86,5.933963409549784,0.01,0.01
9300,100,4.444677599393816,0.86,5.915378904506004,0.01,0.01
9350,100,4.461322450029171,0.87,5.896934527823096,0.01,0.01
9400,100,4.47590056196396,0.87,5.878606903666175,0.01,0.01
9450,100,4.494575537087075,0.87,5.860406106435419,0.01,0.01
9500,100,4.511184273159205,0.87,5.842353959341056,0.01,0.01
9550,100,4.527781479931663,0.87,5.8243856321347796,0.01,0.01
9600,100,4.544367387089206,0.87,5.8065405030589154,0.01,0.01
9650,100,4.560942205961891,0.87,5.78882666381461,0.01,0.01
9700,100,4.577506276633145,0.87,5.771215360881402,0.01,0.01
9750,100,4.5940596954267505,0.87,5.753719100899116,0.01,0.01
9800,100,4.610602761019937,0.87,5.7363623656690255,0.0,0.0
9850,100,4.627135663175629,0.88,5.719114976648574,0.0,0.0
9900,100,4.643658779808988,0.88,5.701973168123301,0.0,0.0
9950,100,4.6601721004450996,0.88,5.684975994144052,0.0,0.0
10000,100,4.676675933070544,0.88,5.668067325928204,0.0,0.0
150,150,0.25,0.2,1.59,12.061485040118354,12.181755332794584
200,150,0.31,0.23,1.88,10.701557339308108,10.762444812519458
250,150,0.38,0.25,2.1570578089935233,9.488620553144713,9.519105541363077
300,150,0.44,0.27,2.4143168378345785,8.463478336571717,8.476177691005176
350,150,0.5,0.29,2.6611134920937762,7.606591324420522,7.609369139593339
400,150,0.56,0.3,2.9001539683481243,6.890931090045859,6.89093114543323
