m1,m2,LISA,LGWA1,LGWA2,CE1+CE1+ET,CE2+CE2+ET
36.0,1.1,0.0,0.01,0.06,4.068865768915477,10.064087470387392
37.0,1.1,0.0,0.01,0.06,4.1185882235835365,10.13568430212384
38.0,1.1,0.0,0.01,0.06,4.166707772282657,10.197300281927951
39.0,1.1,0.0,0.01,0.06,4.213143006745889,10.248672407930687
40.0,1.1,0.0,0.01,0.06,4.25811367657158,10.290585017195516
41.0,1.1,0.0,0.01,0.06,4.3015219740899155,10.323447766124662
42.0,1.1,0.0,0.01,0.06,4.343458206855677,10.347857622186485
43.0,1.1,0.0,0.01,0.06,4.384100586152527,10.364472232192119
44.0,1.1,0.0,0.01,0.06,4.42333669714471,10.373461552836833
45.0,1.1,0.0,0.01,0.06,4.46128857097767,10.376288179660433
46.0,1.1,0.0,0.01,0.06,4.498002773143529,10.372846233262893
47.0,1.1,0.0,0.01,0.06,4.533507123225799,10.363918193267368
48.0,1.1,0.0,0.01,0.06,4.567830093976862,10.34980894718004
49.0,1.1,0.0,0.01,0.06,4.6010116392685125,10.331594080849602
50.0,1.1,0.0,0.01,0.06,4.633076671638914,10.309065745855591
51.0,1.1,0.0,0.01,0.06,4.663955302509265,10.282768680236964
52.0,1.1,0.0,0.01,0.06,4.693657191978067,10.254019998781258
53.0,1.1,0.0,0.01,0.06,4.722351421089433,10.22293850235637
54.0,1.1,0.0,0.01,0.07,4.749915644604141,10.189116611270729
55.0,1.1,0.0,0.01,0.07,4.7762569482712,10.15263963467396
56.0,1.1,0.0,0.01,0.07,4.801660772497098,10.113725412177875
57.0,1.1,0.0,0.01,0.07,4.825889796652523,10.072686377247326
58.0,1.1,0.0,0.01,0.07,4.849019232730448,10.029819080366188
59.0,1.1,0.0,0.01,0.07,4.871023830379353,9.98539808074367
60.0,1.1,0.0,0.01,0.07,4.891891985302539,9.939624124020758
61.0,1.1,0.0,0.01,0.07,4.911561722586011,9.892669753875571
62.0,1.1,0.0,0.01,0.07,4.930215055881401,9.844497116104721
63.0,1.1,0.0,0.01,0.07,4.947618461175907,9.795531719893123
64.0,1.1,0.0,0.01,0.07,4.96390323940074,9.746066587278548
65.0,1.1,0.0,0.01,0.07,4.979023952152677,9.695820893391252
66.0,1.1,0.0,0.01,0.07,4.992949383049384,9.64510147235117
67.0,1.1,0.0,0.01,0.07,5.005641905590493,9.59363959635914
68.0,1.1,0.0,0.01,0.07,5.0173098546626145,9.54225601420165
69.0,1.1,0.0,0.01,0.07,5.027775314929534,9.490475052348772
70.0,1.1,0.0,0.01,0.07,5.0370096044939805,9.438255253890313
71.0,1.1,0.0,0.01,0.07,5.045132784556781,9.386262333678282
72.0,1.1,0.0,0.01,0.07,5.052168004017062,9.334134684530884
73.0,1.1,0.0,0.01,0.07,5.05810522648349,9.281645595566273
74.0,1.1,0.0,0.01,0.07,5.062983434958802,9.229595686818413
75.0,1.1,0.0,0.01,0.07,5.066838372943246,9.177497940818432
76.0,1.1,0.0,0.01,0.07,5.069702894552511,9.125448388413087
77.0,1.1,0.0,0.01,0.07,5.0716101916173875,9.073684651084061
78.0,1.1,0.0,0.01,0.07,5.072593614138804,9.021777002418313
79.0,1.1,0.0,0.01,0.07,5.07267986908395,8.9704741652531
80.0,1.1,0.0,0.01,0.08,5.071945746973507,8.919051918485113
81.0,1.1,0.0,0.01,0.08,5.070426109369936,8.868248791843445
82.0,1.1,0.0,0.01,0.08,5.068089844578456,8.817387777541384
83.0,1.1,0.0,0.01,0.08,5.064962953834208,8.767164422997205
84.0,1.1,0.0,0.01,0.08,5.061294406901811,8.71693171574029
85.0,1.1,0.0,0.01,0.08,5.056967356359726,8.667382847943246
86.0,1.1,0.0,0.01,0.08,5.052019967685823,8.617903985426743
87.0,1.1,0.0,0.01,0.08,5.046494287335809,8.569238779444483
88.0,1.1,0.0,0.01,0.08,5.040344212953166,8.5207742307953
